pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
052FE052FE	勾	勾	U+52FE	U+52FE
052FF052FF	勿	勿	U+52FF	U+52FF
0530505305	包	包	U+5305	U+5305
0530805308	匈	匈	U+5308	U+5308
0530B0530B	匋	匋	U+530B	U+530B
0530F0530F	匏	匏	U+530F	U+530F
0531605316	化	化	U+5316	U+5316
0531A0531A	匚	匚	U+531A	U+531A
0531B0531B	匛	匛	U+531B	U+531B
0532005320	匠	匠	U+5320	U+5320
0532105321	匡	匡	U+5321	U+5321
053260532D	匦	匭	U+5326	U+532D
0532D0532D	匭	匭	U+532D	U+532D
0532E05331	匮	匱	U+532E	U+5331
0533105331	匱	匱	U+5331	U+5331
0533305969	匳	奩	U+5333	U+5969
0533505335	匵	匵	U+5335	U+5335
0533905339	匹	匹	U+5339	U+5339
0533A05340	区	區	U+533A	U+5340
0533B0533B	医	医	U+533B	U+533B
0533B091AB	医	醫	U+533B	U+91AB
0534005340	區	區	U+5340	U+5340
0534105341	十	十	U+5341	U+5341
0534305343	千	千	U+5343	U+5343
0534405EFF	卄	廿	U+5344	U+5EFF
0534705347	升	升	U+5347	U+5347
0534706607	升	昇	U+5347	U+6607
053470965E	升	陞	U+5347	U+965E
0534805348	午	午	U+5348	U+5348
0534905349	卉	卉	U+5349	U+5349
0534A0534A	半	半	U+534A	U+534A
0534E083EF	华	華	U+534E	U+83EF
0534F05354	协	協	U+534F	U+5354
0535405354	協	協	U+5354	U+5354
0535705357	南	南	U+5357	U+5357
0535A0535A	博	博	U+535A	U+535A
0536005360	占	占	U+5360	U+5360
05362076E7	卢	盧	U+5362	U+76E7
0536406EF7	卤	滷	U+5364	U+6EF7
0536409E75	卤	鹵	U+5364	U+9E75
0536605366	卦	卦	U+5366	U+5366
0536B0885B	卫	衛	U+536B	U+885B
0536E0536E	卮	卮	U+536E	U+536E
0537005370	印	印	U+5370	U+5370
0537105371	危	危	U+5371	U+5371
0537305373	即	即	U+5373	U+5373
0537505375	卵	卵	U+5375	U+5375
0537805378	卸	卸	U+5378	U+5378
0537D05373	卽	即	U+537D	U+5373
0537F0537F	卿	卿	U+537F	U+537F
05386053A4	历	厤	U+5386	U+53A4
05386066C6	历	曆	U+5386	U+66C6
0538606B77	历	歷	U+5386	U+6B77
05389053B2	厉	厲	U+5389	U+53B2
0538B058D3	压	壓	U+538B	U+58D3
0538D05399	厍	厙	U+538D	U+5399
0539805398	厘	厘	U+5398	U+5398
0539805EDB	厘	廛	U+5398	U+5EDB
05398091D0	厘	釐	U+5398	U+91D0
0539905399	厙	厙	U+5399	U+5399
0539A0539A	厚	厚	U+539A	U+539A
0539F0539F	原	原	U+539F	U+539F
053A2053A2	厢	厢	U+53A2	U+53A2
053A4053A4	厤	厤	U+53A4	U+53A4
053A5053A5	厥	厥	U+53A5	U+53A5
053A8053A8	厨	厨	U+53A8	U+53A8
053A9053A9	厩	厩	U+53A9	U+53A9
053B2053B2	厲	厲	U+53B2	U+53B2
053B3056B4	厳	嚴	U+53B3	U+56B4
053B9053B9	厹	厹	U+53B9	U+53B9
053BB053BB	去	去	U+53BB	U+53BB
053BF07E23	县	縣	U+53BF	U+7E23
053C2053C3	参	參	U+53C2	U+53C3
053C3053C3	參	參	U+53C3	U+53C3
053C5053C3	叅	參	U+53C5	U+53C3
053C8053C8	又	又	U+53C8	U+53C8
053CA053CA	及	及	U+53CA	U+53CA
053CB053CB	友	友	U+53CB	U+53CB
053CC096D9	双	雙	U+53CC	U+96D9
053CE06536	収	收	U+53CE	U+6536
053D4053D4	叔	叔	U+53D4	U+53D4
053D6053D6	取	取	U+53D6	U+53D6
053D7053D7	受	受	U+53D7	U+53D7
053D9053D9	叙	叙	U+53D9	U+53D9
053E0053E0	叠	叠	U+53E0	U+53E0
053E3053E3	口	口	U+53E3	U+53E3
053E4053E4	古	古	U+53E4	U+53E4
053E5053E5	句	句	U+53E5	U+53E5
053E9053E9	叩	叩	U+53E9	U+53E9
053E906542	叩	敂	U+53E9	U+6542
053EA053EA	只	只	U+53EA	U+53EA
053EA096BB	只	隻	U+53EA	U+96BB
053EB053EB	叫	叫	U+53EB	U+53EB
053EC053EC	召	召	U+53EC	U+53EC
053EE053EE	叮	叮	U+53EE	U+53EE
053EF053EF	可	可	U+53EF	U+53EF
053F006AAF	台	檯	U+53F0	U+6AAF
053F0081FA	台	臺	U+53F0	U+81FA
053F1053F1	叱	叱	U+53F1	U+53F1
053F2053F2	史	史	U+53F2	U+53F2
053F3053F3	右	右	U+53F3	U+53F3
053F4053B9	叴	厹	U+53F4	U+53B9
053F5053F5	叵	叵	U+53F5	U+53F5
053F6053F6	叶	叶	U+53F6	U+53F6
053F608449	叶	葉	U+53F6	U+8449
053F7053F7	号	号	U+53F7	U+53F7
053F70865F	号	號	U+53F7	U+865F
053F8053F8	司	司	U+53F8	U+53F8
053F905606	叹	嘆	U+53F9	U+5606
053FD05630	叽	嘰	U+53FD	U+5630
0540107C72	吁	籲	U+5401	U+7C72
0540305403	吃	吃	U+5403	U+5403
0540405404	各	各	U+5404	U+5404
0540805408	合	合	U+5408	U+5408
0540905409	吉	吉	U+5409	U+5409
0540B0540B	吋	吋	U+540B	U+540B
0540C04EDD	同	仝	U+540C	U+4EDD
0540C0540C	同	同	U+540C	U+540C
0540C08855	同	衕	U+540C	U+8855
0540D0540D	名	名	U+540D	U+540D
0540E0540E	后	后	U+540E	U+540E
0540E05F8C	后	後	U+540E	U+5F8C
0541005410	吐	吐	U+5410	U+5410
0541105411	向	向	U+5411	U+5411
05411056AE	向	嚮	U+5411	U+56AE
0541305687	吓	嚇	U+5413	U+5687
0541505415	吕	吕	U+5415	U+5415
0541B0541B	君	君	U+541B	U+541B
0541D0541D	吝	吝	U+541D	U+541D
0541E0541E	吞	吞	U+541E	U+541E
0541F0541F	吟	吟	U+541F	U+541F
0541F0552B	吟	唫	U+541F	U+552B
0542A0542A	吪	吪	U+542A	U+542A
0542B0542B	含	含	U+542B	U+542B
0542E0542E	吮	吮	U+542E	U+542E
0542F0542F	启	启	U+542F	U+542F
0542F05553	启	啓	U+542F	U+5553
0543305434	吳	吴	U+5433	U+5434
0543405434	吴	吴	U+5434	U+5434
0543505435	吵	吵	U+5435	U+5435
0543605450	吶	呐	U+5436	U+5450
0543805438	吸	吸	U+5438	U+5438
0543905439	吹	吹	U+5439	U+5439
0543B0543B	吻	吻	U+543B	U+543B
0543C0543C	吼	吼	U+543C	U+543C
0543E0543E	吾	吾	U+543E	U+543E
0544205415	呂	吕	U+5442	U+5415
0544605446	呆	呆	U+5446	U+5446
0544607343	呆	獃	U+5446	U+7343
0544805448	呈	呈	U+5448	U+5448
0544905434	呉	吴	U+5449	U+5434
0544A0544A	告	告	U+544A	U+544A
0545005450	呐	呐	U+5450	U+5450
054510541E	呑	吞	U+5451	U+541E
05453056C8	呓	囈	U+5453	U+56C8
0545705504	呗	唄	U+5457	U+5504
05458054E1	员	員	U+5458	U+54E1
0545F0545F	呟	呟	U+545F	U+545F
0546805468	周	周	U+5468	U+5468
0546809031	周	週	U+5468	U+9031
0546C0546C	呬	呬	U+546C	U+546C
0547105471	呱	呱	U+5471	U+5471
0547405474	呴	呴	U+5474	U+5474
0547B0547B	呻	呻	U+547B	U+547B
0547C0547C	呼	呼	U+547C	U+547C
0548405484	咄	咄	U+5484	U+5484
0548605486	咆	咆	U+5486	U+5486
0548E0548E	咎	咎	U+548E	U+548E
0548F0548F	咏	咏	U+548F	U+548F
0548F08A60	咏	詠	U+548F	U+8A60
054A8054A8	咨	咨	U+54A8	U+54A8
054AC054AC	咬	咬	U+54AC	U+54AC
054AC09F69	咬	齩	U+54AC	U+9F69
054AE054AE	咮	咮	U+54AE	U+54AE
054B2054B2	咲	咲	U+54B2	U+54B2
054B3054B3	咳	咳	U+54B3	U+54B3
054B7054B7	咷	咷	U+54B7	U+54B7
054BB054BB	咻	咻	U+54BB	U+54BB
054BF054BF	咿	咿	U+54BF	U+54BF
054C0054C0	哀	哀	U+54C0	U+54C0
054C1054C1	品	品	U+54C1	U+54C1
054C3054C3	哃	哃	U+54C3	U+54C3
054C4054C4	哄	哄	U+54C4	U+54C4
054C409B28	哄	鬨	U+54C4	U+9B28
054C8054C8	哈	哈	U+54C8	U+54C8
054C9054C9	哉	哉	U+54C9	U+54C9
054CD097FF	响	響	U+54CD	U+97FF
054D505666	哕	噦	U+54D5	U+5666
054D705629	哗	嘩	U+54D7	U+5629
054D708B41	哗	譁	U+54D7	U+8B41
054D905672	哙	噲	U+54D9	U+5672
054E1054E1	員	員	U+54E1	U+54E1
054E2054E2	哢	哢	U+54E2	U+54E2
054E5054E5	哥	哥	U+54E5	U+54E5
054E6054E6	哦	哦	U+54E6	U+54E6
054E8054E8	哨	哨	U+54E8	U+54E8
054E9054E9	哩	哩	U+54E9	U+54E9
054ED054ED	哭	哭	U+54ED	U+54ED
0550105501	唁	唁	U+5501	U+5501
0550405504	唄	唄	U+5504	U+5504
0550605506	唆	唆	U+5506	U+5506
0550805508	唈	唈	U+5508	U+5508
0551005510	唐	唐	U+5510	U+5510
055200562E	唠	嘮	U+5520	U+562E
0552B0552B	唫	唫	U+552B	U+552B
0552E0552E	售	售	U+552E	U+552E
0553805538	唸	唸	U+5538	U+5538
0554105541	啁	啁	U+5541	U+5541
0554605546	商	商	U+5546	U+5546
0554E0554E	啎	啎	U+554E	U+554E
0554F0554F	問	問	U+554F	U+554F
0555305553	啓	啓	U+5553	U+5553
0555505555	啕	啕	U+5555	U+5555
0555F05553	啟	啓	U+555F	U+5553
055630929C	啣	銜	U+5563	U+929C
0556C055C7	啬	嗇	U+556C	U+55C7
0557E0557E	啾	啾	U+557E	U+557E
0558005580	喀	喀	U+5580	U+5580
0558105581	喁	喁	U+5581	U+5581
0558305583	喃	喃	U+5583	U+5583
0558405584	善	善	U+5584	U+5584
0558805588	喈	喈	U+5588	U+5588
0558B0558B	喋	喋	U+558B	U+558B
0559105591	喑	喑	U+5591	U+5591
0559107616	喑	瘖	U+5591	U+7616
0559C0559C	喜	喜	U+559C	U+559C
0559F0559F	喟	喟	U+559F	U+559F
055A4055A4	喤	喤	U+55A4	U+55A4
055A6055A6	喦	喦	U+55A6	U+55A6
055AA055AA	喪	喪	U+55AA	U+55AA
055AC055AC	喬	喬	U+55AC	U+55AC
055BE056B3	喾	嚳	U+55BE	U+56B3
055C7055C7	嗇	嗇	U+55C7	U+55C7
055D2055D2	嗒	嗒	U+55D2	U+55D2
055DF055DF	嗟	嗟	U+55DF	U+55DF
055E4055E4	嗤	嗤	U+55E4	U+55E4
055E5055E5	嗥	嗥	U+55E5	U+55E5
055F7055F7	嗷	嗷	U+55F7	U+55F7
055F8055F7	嗸	嗷	U+55F8	U+55F7
0560505605	嘅	嘅	U+5605	U+5605
0560605606	嘆	嘆	U+5606	U+5606
0560905609	嘉	嘉	U+5609	U+5609
0560E0560E	嘎	嘎	U+560E	U+560E
056200560E	嘠	嘎	U+5620	U+560E
0562905629	嘩	嘩	U+5629	U+5629
0562908B41	嘩	譁	U+5629	U+8B41
0562E0562E	嘮	嘮	U+562E	U+562E
0563005630	嘰	嘰	U+5630	U+5630
0563605636	嘶	嘶	U+5636	U+5636
05637055E5	嘷	嗥	U+5637	U+55E5
0563B0563B	嘻	嘻	U+563B	U+563B
0563B08B46	嘻	譆	U+563B	U+8B46
0564205642	噂	噂	U+5642	U+5642
0564F0564F	噏	噏	U+564F	U+564F
05651055E5	噑	嗥	U+5651	U+55E5
0565C05695	噜	嚕	U+565C	U+5695
0565E0565E	噞	噞	U+565E	U+565E
0566405664	噤	噤	U+5664	U+5664
0566605666	噦	噦	U+5666	U+5666
0566805668	器	器	U+5668	U+5668
0566B0566B	噫	噫	U+566B	U+566B
0566C0566C	噬	噬	U+566C	U+566C
0567205672	噲	噲	U+5672	U+5672
0567305673	噳	噳	U+5673	U+5673
0568505685	嚅	嚅	U+5685	U+5685
0568705687	嚇	嚇	U+5687	U+5687
0568A0568A	嚊	嚊	U+568A	U+568A
0568F0568F	嚏	嚏	U+568F	U+568F
056940568F	嚔	嚏	U+5694	U+568F
0569505695	嚕	嚕	U+5695	U+5695
0569A0569A	嚚	嚚	U+569A	U+569A
056A3056C2	嚣	囂	U+56A3	U+56C2
056AE056AE	嚮	嚮	U+56AE	U+56AE
056B3056B3	嚳	嚳	U+56B3	U+56B3
056B4056B4	嚴	嚴	U+56B4	U+56B4
056BB056C2	嚻	囂	U+56BB	U+56C2
056BC056BC	嚼	嚼	U+56BC	U+56BC
056C2056C2	囂	囂	U+56C2	U+56C2
056C8056C8	囈	囈	U+56C8	U+56C8
056CC056CC	囌	囌	U+56CC	U+56CC
056D7056D7	囗	囗	U+56D7	U+56D7
056D8056DE	囘	回	U+56D8	U+56DE
056DB056DB	四	四	U+56DB	U+56DB
056DE056DE	回	回	U+56DE	U+56DE
056DE05EFB	回	廻	U+56DE	U+5EFB
056DE08FF4	回	迴	U+56DE	U+8FF4
056E0056E0	因	因	U+56E0	U+56E0
056E205718	团	團	U+56E2	U+5718
056E305718	団	團	U+56E3	U+5718
056E4056E4	囤	囤	U+56E4	U+56E4
056EC056DE	囬	回	U+56EC	U+56DE
056ED05712	园	園	U+56ED	U+5712
056EE056EE	囮	囮	U+56EE	U+56EE
056F0056F0	困	困	U+56F0	U+56F0
056F20570D	囲	圍	U+56F2	U+570D
056F305716	図	圖	U+56F3	U+5716
056F40570D	围	圍	U+56F4	U+570D
056FA056FA	固	固	U+56FA	U+56FA
056FE05716	图	圖	U+56FE	U+5716
056FF056FF	囿	囿	U+56FF	U+56FF
0570405704	圄	圄	U+5704	U+5704
0570605713	圆	圓	U+5706	U+5713
0570905709	圉	圉	U+5709	U+5709
0570A0570A	圊	圊	U+570A	U+570A
0570D0570D	圍	圍	U+570D	U+570D
0570E05713	圎	圓	U+570E	U+5713
0571205712	園	園	U+5712	U+5712
0571305713	圓	圓	U+5713	U+5713
0571605716	圖	圖	U+5716	U+5716
0571805718	團	團	U+5718	U+5718
0571C0571C	圜	圜	U+571C	U+571C
0571F0571F	土	土	U+571F	U+571F
0572305723	圣	圣	U+5723	U+5723
0572308056	圣	聖	U+5723	U+8056
0572505725	圥	圥	U+5725	U+5725
05727058D3	圧	壓	U+5727	U+58D3
0572805728	在	在	U+5728	U+5728
0572D0572D	圭	圭	U+572D	U+572D
0572E0572E	圮	圮	U+572E	U+572E
05739058D9	圹	壙	U+5739	U+58D9
0573A05834	场	場	U+573A	U+5834
0573A05872	场	塲	U+573A	U+5872
0573C0573C	圼	圼	U+573C	U+573C
0574005740	址	址	U+5740	U+5740
057400962F	址	阯	U+5740	U+962F
0574A0574A	坊	坊	U+574A	U+574A
0574E0574E	坎	坎	U+574E	U+574E
0575A05805	坚	堅	U+575A	U+5805
0575B058C7	坛	壇	U+575B	U+58C7
0575B058DC	坛	壜	U+575B	U+58DC
0575B07F4E	坛	罎	U+575B	U+7F4E
0575C058E2	坜	壢	U+575C	U+58E2
0575D057BB	坝	垻	U+575D	U+57BB
057600589C	坠	墜	U+5760	U+589C
0576405764	坤	坤	U+5764	U+5764
0576605766	坦	坦	U+5766	U+5766
0577405774	坴	坴	U+5774	U+5774
0577705777	坷	坷	U+5777	U+5777
0578205782	垂	垂	U+5782	U+5782
05786058DA	垆	壚	U+5786	U+58DA
0578B0578B	型	型	U+578B	U+578B
0579305793	垓	垓	U+5793	U+5793
0579405794	垔	垔	U+5794	U+5794
057A2057A2	垢	垢	U+57A2	U+57A2
057A3057A3	垣	垣	U+57A3	U+57A3
057A4057A4	垤	垤	U+57A4	U+57A4
057B20584F	垲	塏	U+57B2	U+584F
057BB057BB	垻	垻	U+57BB	U+57BB
057BE057BE	垾	垾	U+57BE	U+57BE
057C005782	埀	垂	U+57C0	U+5782
057C3057C3	埃	埃	U+57C3	U+57C3
057C7057C7	埇	埇	U+57C7	U+57C7
057CB057CB	埋	埋	U+57CB	U+57CB
057CE057CE	城	城	U+57CE	U+57CE
057D805852	埘	塒	U+57D8	U+5852
057D905864	埙	塤	U+57D9	U+5864
057DC057DC	埜	埜	U+57DC	U+57DC
057DF057DF	域	域	U+57DF	U+57DF
057E7057E7	埧	埧	U+57E7	U+57E7
057F4057F4	埴	埴	U+57F4	U+57F4
057F6057F6	埶	埶	U+57F6	U+57F6
057F7057F7	執	執	U+57F7	U+57F7
057FA057FA	基	基	U+57FA	U+57FA
057FC057FC	埼	埼	U+57FC	U+57FC
0580005800	堀	堀	U+5800	U+5800
0580505805	堅	堅	U+5805	U+5805
0580605806	堆	堆	U+5806	U+5806
0581905819	堙	堙	U+5819	U+5819
058190967B	堙	陻	U+5819	U+967B
0581E0581E	堞	堞	U+581E	U+581E
0582105821	堡	堡	U+5821	U+5821
0582205821	堢	堡	U+5822	U+5821
0582605826	堦	堦	U+5826	U+5826
0583105831	報	報	U+5831	U+5831
0583405834	場	場	U+5834	U+5834
0583405872	場	塲	U+5834	U+5872
0583505835	堵	堵	U+5835	U+5835
0583A0754C	堺	界	U+583A	U+754C
0584D0584D	塍	塍	U+584D	U+584D
0584F0584F	塏	塏	U+584F	U+584F
0585205852	塒	塒	U+5852	U+5852
0585405854	塔	塔	U+5854	U+5854
0585705857	塗	塗	U+5857	U+5857
0585805858	塘	塘	U+5858	U+5858
0585905859	塙	塙	U+5859	U+5859
0585E0585E	塞	塞	U+585E	U+585E
0586405864	塤	塤	U+5864	U+5864
0586909E7D	塩	鹽	U+5869	U+9E7D
0587205872	塲	塲	U+5872	U+5872
0587505875	塵	塵	U+5875	U+5875
0587E0587E	塾	塾	U+587E	U+587E
0588305883	境	境	U+5883	U+5883
0588505885	墅	墅	U+5885	U+5885
0588905889	墉	墉	U+5889	U+5889
05899058BB	墙	墻	U+5899	U+58BB
0589907246	墙	牆	U+5899	U+7246
0589C0589C	墜	墜	U+589C	U+589C
0589D0589D	墝	墝	U+589D	U+589D
058A8058A8	墨	墨	U+58A8	U+58A8
058A9058A9	墩	墩	U+58A9	U+58A9
058AA058A9	墪	墩	U+58AA	U+58A9
058AB058AB	墫	墫	U+58AB	U+58AB
058AD058AD	墭	墭	U+58AD	U+58AD
058BB058BB	墻	墻	U+58BB	U+58BB
058BB07246	墻	牆	U+58BB	U+7246
058C3058C3	壃	壃	U+58C3	U+58C3
058C5058C5	壅	壅	U+58C5	U+58C5
058C7058C7	壇	壇	U+58C7	U+58C7
058C821484	壈	𡒄	U+58C8	U+21484
058D1058D1	壑	壑	U+58D1	U+58D1
058D3058D3	壓	壓	U+58D3	U+58D3
058D5058D5	壕	壕	U+58D5	U+58D5
058D9058D9	壙	壙	U+58D9	U+58D9
058DA058DA	壚	壚	U+58DA	U+58DA
058DC058DC	壜	壜	U+58DC	U+58DC
058DD058DD	壝	壝	U+58DD	U+58DD
058E2058E2	壢	壢	U+58E2	U+58E2
058EB058EB	士	士	U+58EB	U+58EB
058EE058EF	壮	壯	U+58EE	U+58EF
058EF058EF	壯	壯	U+58EF	U+58EF
058F008072	声	聲	U+58F0	U+8072
058F1058F9	壱	壹	U+58F1	U+58F9
058F306BBB	壳	殻	U+58F3	U+6BBB
058F6058FA	壶	壺	U+58F6	U+58FA
058F7058FA	壷	壺	U+58F7	U+58FA
058F8058FC	壸	壼	U+58F8	U+58FC
058F9058F9	壹	壹	U+58F9	U+58F9
058FA058FA	壺	壺	U+58FA	U+58FA
058FC058FC	壼	壼	U+58FC	U+58FC
058FD058FD	壽	壽	U+58FD	U+58FD
058FF058AB	壿	墫	U+58FF	U+58AB
0590305903	夃	夃	U+5903	U+5903
0590408655	处	處	U+5904	U+8655
0590B0590B	夋	夋	U+590B	U+590B
0590C0590C	夌	夌	U+590C	U+590C
0590F0590F	夏	夏	U+590F	U+590F
0591205912	夒	夒	U+5912	U+5912
0591405914	夔	夔	U+5914	U+5914
0591505915	夕	夕	U+5915	U+5915
0591605916	外	外	U+5916	U+5916
0591C0591C	夜	夜	U+591C	U+591C
0591F0591F	够	够	U+591F	U+591F
059200591F	夠	够	U+5920	U+591F
0592705927	大	大	U+5927	U+5927
0592805928	夨	夨	U+5928	U+5928
0592905929	天	天	U+5929	U+5929
0592A0592A	太	太	U+592A	U+592A
0592C0592C	夬	夬	U+592C	U+592C
0592E0592E	央	央	U+592E	U+592E
0593105931	失	失	U+5931	U+5931
0593705937	夷	夷	U+5937	U+5937
0593808A87	夸	誇	U+5938	U+8A87
05939088B7	夹	袷	U+5939	U+88B7
0593A0596A	夺	奪	U+593A	U+596A
0593E088B7	夾	袷	U+593E	U+88B7
0594105969	奁	奩	U+5941	U+5969
0594705947	奇	奇	U+5947	U+5947
0594B0596E	奋	奮	U+594B	U+596E
0594F0594F	奏	奏	U+594F	U+594F
0595505955	奕	奕	U+5955	U+5955
059560596C	奖	奬	U+5956	U+596C
0595805958	奘	奘	U+5958	U+5958
0596105961	奡	奡	U+5961	U+5961
0596205962	奢	奢	U+5962	U+5962
0596505965	奥	奥	U+5965	U+5965
0596705965	奧	奥	U+5967	U+5965
059680596C	奨	奬	U+5968	U+596C
0596905969	奩	奩	U+5969	U+5969
0596A0596A	奪	奪	U+596A	U+596A
0596C0596C	奬	奬	U+596C	U+596C
0596D0596D	奭	奭	U+596D	U+596D
0596E0596E	奮	奮	U+596E	U+596E
0597005970	奰	奰	U+5970	U+5970
0597305973	女	女	U+5973	U+5973
0597405974	奴	奴	U+5974	U+5974
0597805978	奸	奸	U+5978	U+5978
05978059E6	奸	姦	U+5978	U+59E6
0597D0597D	好	好	U+597D	U+597D
0598205982	如	如	U+5982	U+5982
0598305983	妃	妃	U+5983	U+5983
0598405984	妄	妄	U+5984	U+5984
059860599D	妆	妝	U+5986	U+599D
0598607CA7	妆	粧	U+5986	U+7CA7
0598705A66	妇	婦	U+5987	U+5A66
0598D0598D	妍	妍	U+598D	U+598D
0599205992	妒	妒	U+5992	U+5992
0599305993	妓	妓	U+5993	U+5993
0599805998	妘	妘	U+5998	U+5998
0599905999	妙	妙	U+5999	U+5999
0599907385	妙	玅	U+5999	U+7385
0599D0599D	妝	妝	U+599D	U+599D
0599D07CA7	妝	粧	U+599D	U+7CA7
059A4059A4	妤	妤	U+59A4	U+59A4
059A8059A8	妨	妨	U+59A8	U+59A8
059AB05B00	妫	嬀	U+59AB	U+5B00
059AC05992	妬	妒	U+59AC	U+5992
059AF059AF	妯	妯	U+59AF	U+59AF
059B2059B2	妲	妲	U+59B2	U+59B2
059BB059BB	妻	妻	U+59BB	U+59BB
059C9059CA	姉	姊	U+59C9	U+59CA
059CA059CA	姊	姊	U+59CA	U+59CA
059D1059D1	姑	姑	U+59D1	U+59D1
059D3059D3	姓	姓	U+59D3	U+59D3
059D4059D4	委	委	U+59D4	U+59D4
059DC059DC	姜	姜	U+59DC	U+59DC
059DC08591	姜	薑	U+59DC	U+8591
059DD059DD	姝	姝	U+59DD	U+59DD
059DE059DE	姞	姞	U+59DE	U+59DE
059E3059E3	姣	姣	U+59E3	U+59E3
059E4059E4	姤	姤	U+59E4	U+59E4
059E5059E5	姥	姥	U+59E5	U+59E5
059E6059E6	姦	姦	U+59E6	U+59E6
059E8059E8	姨	姨	U+59E8	U+59E8
059EA059EA	姪	姪	U+59EA	U+59EA
059F1059F1	姱	姱	U+59F1	U+59F1
059F6059F6	姶	姶	U+59F6	U+59F6
059F80598D	姸	妍	U+59F8	U+598D
059FB059FB	姻	姻	U+59FB	U+59FB
059FB05A63	姻	婣	U+59FB	U+5A63
059FF059FF	姿	姿	U+59FF	U+59FF
05A0105A01	威	威	U+5A01	U+5A01
05A0905A09	娉	娉	U+5A09	U+5A09
05A0C05A0C	娌	娌	U+5A0C	U+5A0C
05A1805A18	娘	娘	U+5A18	U+5A18
05A1B05A31	娛	娱	U+5A1B	U+5A31
05A2505A25	娥	娥	U+5A25	U+5A25
05A2D05A2D	娭	娭	U+5A2D	U+5A2D
05A2F05A31	娯	娱	U+5A2F	U+5A31
05A3105A31	娱	娱	U+5A31	U+5A31
05A3405AFA	娴	嫺	U+5A34	U+5AFA
05A3405AFB	娴	嫻	U+5A34	U+5AFB
05A6305A63	婣	婣	U+5A63	U+5A63
05A6405A64	婤	婤	U+5A64	U+5A64
05A6605A66	婦	婦	U+5A66	U+5A66
05A6705A67	婧	婧	U+5A67	U+5A67
05A6A05A6A	婪	婪	U+5A6A	U+5A6A
05A6A060CF	婪	惏	U+5A6A	U+60CF
05A7605B38	婶	嬸	U+5A76	U+5B38
05A7F05A7F	婿	婿	U+5A7F	U+5A7F
05A9305A93	媓	媓	U+5A93	U+5A93
05A9B05A9B	媛	媛	U+5A9B	U+5A9B
05A9F05A9F	媟	媟	U+5A9F	U+5A9F
05AAD05B03	媭	嬃	U+5AAD	U+5B03
05AAF05B00	媯	嬀	U+5AAF	U+5B00
05AB505AB5	媵	媵	U+5AB5	U+5AB5
05AB805AB8	媸	媸	U+5AB8	U+5AB8
05AC105AC1	嫁	嫁	U+5AC1	U+5AC1
05AC405AC4	嫄	嫄	U+5AC4	U+5AC4
05ACC05ACC	嫌	嫌	U+5ACC	U+5ACC
05AE005AE0	嫠	嫠	U+5AE0	U+5AE0
05AF105B19	嫱	嬙	U+5AF1	U+5B19
05AFA05AFA	嫺	嫺	U+5AFA	U+5AFA
05AFB05AFA	嫻	嫺	U+5AFB	U+5AFA
05AFB05AFB	嫻	嫻	U+5AFB	U+5AFB
05B0005B00	嬀	嬀	U+5B00	U+5B00
05B0305B03	嬃	嬃	U+5B03	U+5B03
05B1705B17	嬗	嬗	U+5B17	U+5B17
05B1905B19	嬙	嬙	U+5B19	U+5B19
05B2505B25	嬥	嬥	U+5B25	U+5B25
05B2C05B2C	嬬	嬬	U+5B2C	U+5B2C
05B3405B34	嬴	嬴	U+5B34	U+5B34
05B3805B38	嬸	嬸	U+5B38	U+5B38
05B3E05B3E	嬾	嬾	U+5B3E	U+5B3E
05B4005B40	孀	孀	U+5B40	U+5B40
05B5005B50	子	子	U+5B50	U+5B50
05B5105B51	孑	孑	U+5B51	U+5B51
05B5405B54	孔	孔	U+5B54	U+5B54
05B5505B55	孕	孕	U+5B55	U+5B55
05B5705B57	字	字	U+5B57	U+5B57
05B5805B58	存	存	U+5B58	U+5B58
05B5A05B5A	孚	孚	U+5B5A	U+5B5A
05B5C05B5C	孜	孜	U+5B5C	U+5B5C
05B6305B63	季	季	U+5B63	U+5B63
05B6405B64	孤	孤	U+5B64	U+5B64
05B6505B65	孥	孥	U+5B65	U+5B65
05B6605B78	学	學	U+5B66	U+5B78
05B6905B69	孩	孩	U+5B69	U+5B69
05B7305B73	孳	孳	U+5B73	U+5B73
05B7505B75	孵	孵	U+5B75	U+5B75
05B7605B73	孶	孳	U+5B76	U+5B73
05B7805B78	學	學	U+5B78	U+5B78
05B8005B80	宀	宀	U+5B80	U+5B80
05B8205197	宂	冗	U+5B82	U+5197
05B8405B84	宄	宄	U+5B84	U+5B84
05B8705B87	宇	宇	U+5B87	U+5B87
05B8805B88	守	守	U+5B88	U+5B88
05B8905B89	安	安	U+5B89	U+5B89
05B8B05B8B	宋	宋	U+5B8B	U+5B8B
05B8C05B8C	完	完	U+5B8C	U+5B8C
05B8D08089	宍	肉	U+5B8D	U+8089
05B9505B95	宕	宕	U+5B95	U+5B95
05B9705B97	宗	宗	U+5B97	U+5B97
05B9805B98	官	官	U+5B98	U+5B98
05B9905B99	宙	宙	U+5B99	U+5B99
05B9A05B9A	定	定	U+5B9A	U+5B9A
05B9B05B9B	宛	宛	U+5B9B	U+5B9B
05B9C05B9C	宜	宜	U+5B9C	U+5B9C
05B9D05BF6	宝	寶	U+5B9D	U+5BF6
05B9E05BE6	实	實	U+5B9E	U+5BE6
